sr,business_name,business_type,address,tehsil,phone,map_link
1,private,Kite Flying - Seller,"Street 6C, Siddiqia Colony Badami Bagh, Lahore, Pakistan, Ravi Town",Ravi Town,3094291412,"https://www.google.com/maps?q=31.6043980,74.3285940"
2,Kashi Kite Maker,Kite Flying - Manufacturer,"C8J3+33X, Bagrian Lahore, Pakistan, Model Town",Model Town,3097277136,"https://www.google.com/maps?q=31.4304420,74.3027720"
3,Kite Craft,Kite Flying - Seller,"H9PQ+9GG, Shalamar Town, Lahore, Pakistan, Shalimar Town",Shalimar Town,3248004444,"https://www.google.com/maps?q=31.5859400,74.3883260"
4,Bala kite house,Kite Flying - Manufacturer,"Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3234924984,"https://www.google.com/maps?q=31.4946680,74.3912520"
5,Al Hamad kite shop,Kite Flying - Seller,"Plot 127, Block J Gulberg III, Lahore, Pakistan, Allama Iqbal",Allama Iqbal,3054339804,"https://www.google.com/maps?q=31.5200000,74.3500000"
6,Safe Kite Flying Association of Punjab,Kite Flying Association,"180, Mamdoot Block Mustafa Town, Lahore, 54000, Pakistan, Allama Iqbal",Allama Iqbal,3454029746,"https://www.google.com/maps?q=31.4982870,74.2764830"
7,Safe Kite Manufacturer,Kite Flying - Manufacturer,"Mughalpura Road, Mughalpura, Lahore, Pakistan, Shalimar Town",Shalimar Town,3284985929,"https://www.google.com/maps?q=31.5642990,74.3753490"
8,David com,Kite Flying - Seller,"China Rd, Bhagatpura, Lahore, Pakistan, Shalimar Town",Shalimar Town,3079638843,"https://www.google.com/maps?q=31.6012020,74.3581290"
9,Khurram Kite,Kite Flying - Manufacturer,"Badar St, Garhi Shahu, Lahore, 54000, Pakistan, Shalimar Town",Shalimar Town,3217792254,"https://www.google.com/maps?q=31.5606550,74.3517580"
10,Bala kite house,Kite Flying - Seller,"Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt",Lahore Cantt,3234924984,"https://www.google.com/maps?q=31.4946680,74.3912520"
11,World Kite Store 🇵🇰,Kite Flying - Seller,"J83C+5FC, Badami Bagh, Lahore, Pakistan, Ravi Town",Ravi Town,3030042765,"https://www.google.com/maps?q=31.6027130,74.3213200"
12,Kashi Kite Saler,Kite Flying - Seller,"C8J3+33X, Bagrian Lahore, Pakistan, Model Town",Model Town,3030982389,"https://www.google.com/maps?q=31.4304460,74.3027760"
13,ASIF KITE TRADER,Kite Flying - Seller,"H8J3+CHM, Shish Mahal Rd, Data Gunj Buksh Town, Lahore, Pakistan, Lahore City",Lahore City,3249420201,"https://www.google.com/maps?q=31.5813550,74.3037770"
14,Kite Manufacturer,Kite Flying - Manufacturer,"G8C4+967, Shuja Rd, Combo Colony, Lahore, 54000, Pakistan, Lahore Cantt",Lahore Cantt,3334539873,"https://www.google.com/maps?q=31.5208960,74.3055580"
15,RI kite Manufurers,Kite Flying - Manufacturer,"Band Rd, Lahore, 54000, Pakistan, Lahore City",Lahore City,3044308649,"https://www.google.com/maps?q=31.5472540,74.2677750"
16,KK international,Kite Flying - Trader,"H8F8+9R7, Baans Bazar, Anarkali Bazaar Gawalmandi, Lahore, 54000, Pakistan, Lahore City",Lahore City,3244496238,"https://www.google.com/maps?q=31.5734930,74.3170900"
17,private,Kite Flying - Seller,"54500 Rustam Park Rd, Samanabad Town, Lahore, 54000, Pakistan, Lahore City",Lahore City,3034062369,"https://www.google.com/maps?q=31.5444990,74.2896650"
