sr,business_name,business_type,address,tehsil,phone,map_link
"1","private","Kite Flying - Seller","Street 6C, Siddiqia Colony Badami Bagh, Lahore, Pakistan, Ravi Town","Ravi Town","03094291412","https://www.google.com/maps?q=31.6043980,74.3285940"
"2","Kashi Kite Maker","Kite Flying - Manufacturer","C8J3+33X, Bagrian Lahore, Pakistan, Model Town","Model Town","03097277136","https://www.google.com/maps?q=31.4304420,74.3027720"
"3","Kite Craft","Kite Flying - Seller","H9PQ+9GG, Shalamar Town, Lahore, Pakistan, Shalimar Town","Shalimar Town","03248004444","https://www.google.com/maps?q=31.5859400,74.3883260"
"4","Bala kite house","Kite Flying - Manufacturer","Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03234924984","https://www.google.com/maps?q=31.4946680,74.3912520"
"5","Al Hamad kite shop","Kite Flying - Seller","Plot 127, Block J Gulberg III, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03054339804","https://www.google.com/maps?q=31.5200000,74.3500000"
"6","Safe Kite Flying Association of Punjab","Kite Flying Association","180, Mamdoot Block Mustafa Town, Lahore, 54000, Pakistan, Allama Iqbal","Allama Iqbal","03454029746","https://www.google.com/maps?q=31.4982870,74.2764830"
"7","Safe Kite Manufacturer","Kite Flying - Manufacturer","Mughalpura Road, Mughalpura, Lahore, Pakistan, Shalimar Town","Shalimar Town","03284985929","https://www.google.com/maps?q=31.5642990,74.3753490"
"8","David com","Kite Flying - Seller","China Rd, Bhagatpura, Lahore, Pakistan, Shalimar Town","Shalimar Town","03079638843","https://www.google.com/maps?q=31.6012020,74.3581290"
"9","Khurram Kite","Kite Flying - Manufacturer","Badar St, Garhi Shahu, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03217792254","https://www.google.com/maps?q=31.5606550,74.3517580"
"10","Bala kite house","Kite Flying - Seller","Nishat Colony Main Rd, Nishat Colony, Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03234924984","https://www.google.com/maps?q=31.4946680,74.3912520"
"11","World Kite Store 🇵🇰","Kite Flying - Seller","J83C+5FC, Badami Bagh, Lahore, Pakistan, Ravi Town","Ravi Town","03030042765","https://www.google.com/maps?q=31.6027130,74.3213200"
"12","Kashi Kite Saler","Kite Flying - Seller","C8J3+33X, Bagrian Lahore, Pakistan, Model Town","Model Town","03030982389","https://www.google.com/maps?q=31.4304460,74.3027760"
"13","ASIF KITE TRADER","Kite Flying - Seller","H8J3+CHM, Shish Mahal Rd, Data Gunj Buksh Town, Lahore, Pakistan, Lahore City","Lahore City","03249420201","https://www.google.com/maps?q=31.5813550,74.3037770"
"14","Kite Manufacturer","Kite Flying - Manufacturer","G8C4+967, Shuja Rd, Combo Colony, Lahore, 54000, Pakistan, Lahore Cantt","Lahore Cantt","03334539873","https://www.google.com/maps?q=31.5208960,74.3055580"
"15","RI kite Manufurers","Kite Flying - Manufacturer","Band Rd, Lahore, 54000, Pakistan, Lahore City","Lahore City","03044308649","https://www.google.com/maps?q=31.5472540,74.2677750"
"16","KK international","Kite Flying - Trader","H8F8+9R7, Baans Bazar, Anarkali Bazaar Gawalmandi, Lahore, 54000, Pakistan, Lahore City","Lahore City","03244496238","https://www.google.com/maps?q=31.5734930,74.3170900"
"17","private","Kite Flying - Seller","54500 Rustam Park Rd, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03034062369","https://www.google.com/maps?q=31.5444990,74.2896650"
"18","B.S kite's","Kite Flying - Trader","10 Fane Rd, Mozang Chungi, Lahore, 54000, Pakistan, Lahore City","Lahore City","03222224002","https://www.google.com/maps?q=31.5610570,74.3145260"
"19","BZ Kites & Strings","Kite Flying - Seller","H8M5+GCM, Kucha Faqirkhana Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03364441005","https://www.google.com/maps?q=31.5840690,74.3085780"
"20","JUNIOISKIDS store","Kite Flying - Seller","H9MF+7C5, Baghbanpura, Lahore, 54000, Pakistan, Shalimar Town","Shalimar Town","03201045799","https://www.google.com/maps?q=31.5831860,74.3737150"
"21","Nexa kite","Kite Flying - Manufacturer","G7PX+RW8, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03244649466","https://www.google.com/maps?q=31.5370260,74.2995670"
"22","Rana Enterprises","Kite Flying - Manufacturer","Band Rd, Shera Kot Lahore, 54000, Pakistan, Lahore City","Lahore City","03224876414","https://www.google.com/maps?q=31.5441600,74.2667850"
"23","Mk company","Kite Flying - Trader","China Rd, Bhagatpura, Lahore, Pakistan, Shalimar Town","Shalimar Town","03078672937","https://www.google.com/maps?q=31.6012020,74.3581290"
"24","FM Kite Club","Kite Flying - Seller","H9XW+5M7, Dilshad St, Bhagwal Nawan Mehmood Booti, Lahore, Pakistan, Shalimar Town","Shalimar Town","03084388582","https://www.google.com/maps?q=31.5980590,74.3962850"
"25","Ali kites Dealor","Kite Flying - Seller","Thokar Niaz Baig Flyover, Irrigation Colony, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03228741187","https://www.google.com/maps?q=31.4721270,74.2450290"
"26","Safe Kite Manufacturer","Kite Flying - Trader","Street 7, Madina Colony, Lahore, Pakistan, Shalimar Town","Shalimar Town","03284985929","https://www.google.com/maps?q=31.4919750,74.3597490"
"27","sajeel kites","Kite Flying - Trader","C6WJ+C5, Sheikh Zayed Palace Shiekh Zayed Palace, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03283999938","https://www.google.com/maps?q=31.4460130,74.2304090"
"28","A&U Traders","Kite Flying - Trader","H8G9+PW5, Mochi Gate Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03234723053","https://www.google.com/maps?q=31.5767450,74.3198010"
"29","Butt kite door point","Kite Flying - Seller","Main Bazar Siddiqia Colony, Siddiqia Colony Badami Bagh, Lahore, Pakistan, Ravi Town","Ravi Town","03174646003","https://www.google.com/maps?q=31.6037550,74.3298140"
"30","World Kite Store 🇵🇰","Kite Flying - Trader","J839+4G2, Badami Bagh, Lahore, Pakistan, Ravi Town","Ravi Town","03030042765","https://www.google.com/maps?q=31.6026980,74.3183150"
"31","Paint manufacturer","Kite Flying - Seller","Salamat Pura Rd, Fatehgarh, Lahore, Pakistan, Shalimar Town","Shalimar Town","03238454363","https://www.google.com/maps?q=31.5724840,74.4102370"
"32","Hs textile","Kite Flying - Manufacturer","Kot Khawaja Saeed Rd, Bhogiwal Kot Khawaja Saeed, Lahore, Pakistan, Shalimar Town","Shalimar Town","03224016444","https://www.google.com/maps?q=31.5863790,74.3566550"
"33","Hafiz Kite's","Kite Flying - Seller","F9VR+RGJ, Nishat Colony Main Rd, Nishat Colony Lahore, Pakistan, Lahore Cantt","Lahore Cantt","03454225769","https://www.google.com/maps?q=31.4946680,74.3912520"
"34","Azeem Butt kite store","Kite Flying - Seller","H8Q2+X39, 19 Sufian Street, Karim Park Lahore, Pakistan, Lahore City","Lahore City","03219643966","https://www.google.com/maps?q=31.5900000,74.3000000"
"35","Lahore Kite House","Kite Flying - Seller","Plot 249 C, Maraghzar Colony Block H Marghzar Housing Scheme, Lahore, Pakistan, Allama Iqbal","Allama Iqbal","03344007202","https://www.google.com/maps?q=31.5000330,74.2446170"
"36","S&Co. International","Kite Flying - Seller","F7FX+264, Bhalla Rd, Block E Phase 1 BOR Society, Lahore, Pakistan, Model Town","Model Town","03318432021","https://www.google.com/maps?q=31.4726530,74.2981500"
"37","K.K international","Kite Flying - Trader","Chowk Shah Alam, H8F8+GRG, Baans Bazar, Anarkali Bazaar Lahore, 54000, Pakistan, Lahore City","Lahore City","03214153111","https://www.google.com/maps?q=31.5736730,74.3171150"
"38","Butt foods","Kite Flying - Manufacturer","H9JX+PJ Lahore, Pakistan, Shalimar Town","Shalimar Town","03004300236","https://www.google.com/maps?q=31.5818110,74.3990250"
"39","Shakeel kaite","Kite Flying - Seller","54-A2 Street Number 69, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03214191124","https://www.google.com/maps?q=31.5327620,74.2925070"
"40","Ali Enterprises","Kite Flying - Seller","J767+QGM, Mian Rd, Shahdara Town, Lahore, Pakistan, Ravi Town","Ravi Town","03355821567","https://www.google.com/maps?q=31.6117820,74.2637460"
"41","Malik Traders Raiwind","Kite Flying - Seller","Malik Traders Raiwind Abdullah Gee Road, Raiwind","Raiwind","03104038780","https://www.google.com/maps?q=31.5180830,74.3607380"
"42","MH Enterprises","Kite Flying - Seller","F955+HPH, Shoukat Town Gul Colony, Lahore, Pakistan, Model Town","Model Town","03214007676","https://www.google.com/maps?q=31.4589150,74.3593420"
"43","BZ Kites & Strings","Kite Flying - Manufacturer","H8M5+GCM, Kucha Faqirkhana Walled City of Lahore, Lahore, 54000, Pakistan, Lahore City","Lahore City","03364441005","https://www.google.com/maps?q=31.5840690,74.3085780"
"44","KHAWAJA & CO","Kite Flying - Manufacturer","G7MR+26H, Zubaida Park Street 1, Samanabad Town, Lahore, 54000, Pakistan, Lahore City","Lahore City","03214897278","https://www.google.com/maps?q=31.5324670,74.2906620"
"45","Hadi Kite","Kite Flying - Manufacturer","HFHM+W48, Jallo Park Access Rd, Phase 4 Al Rehman Garden, Lahore, Pakistan, Wahgah Town","Wahgah Town","03244849720","https://www.google.com/maps?q=31.5797810,74.4828380"
